country	code	size
Aruba	ABW	180	
Afghanistan	AFG	652230	
Angola	AGO	1246700	
Albania	ALB	27400	
Andorra	AND	470	
United Arab Emirates	ARE	71020	
Argentina	ARG	2736690	
Armenia	ARM	28198.32	
American Samoa	ASM	200	
Antigua and Barbuda	ATG	440	
Australia	AUS	7692020	
Austria	AUT	82520	
Azerbaijan	AZE	82650	
Burundi	BDI	25680	
Belgium	BEL	30494	
Benin	BEN	112760	
Burkina Faso	BFA	273600	
Bangladesh	BGD	130260	
Bulgaria	BGR	108560	
Bahrain	BHR	790	
Bahamas, The	BHS	10010	
Bosnia and Herzegovina	BIH	51200	
Belarus	BLR	202990	
Belize	BLZ	22810	
Bermuda	BMU	54	
Bolivia	BOL	1083300	
Brazil	BRA	8358140	
Barbados	BRB	430	
Brunei Darussalam	BRN	5270	
Bhutan	BTN	38140	
Botswana	BWA	566730	
Central African Republic	CAF	622980	
Canada	CAN	8788700	
Switzerland	CHE	39509.63	
Channel Islands	CHI		
Chile	CHL	742831.64	
China	CHN	9388210	
Cote d'Ivoire	CIV	318000	
Cameroon	CMR	472710	
Congo, Dem. Rep.	COD	2267050	
Congo, Rep.	COG	341500	
Colombia	COL	1109500	
Comoros	COM	1861	
Cabo Verde	CPV	4030	
Costa Rica	CRI	51060	
Caribbean small states	CSS	398527.61	
Cuba	CUB	103800	
Curacao	CUW	444	
Cayman Islands	CYM	240	
Cyprus	CYP	9240	
Czechia	CZE	77171.73	
Germany	DEU	349360	
Djibouti	DJI	23180	
Dominica	DMA	750	
Denmark	DNK	40000	
Dominican Republic	DOM	48198.02	
Algeria	DZA	2381740	
Ecuador	ECU	248360	
Egypt, Arab Rep.	EGY	995450	
Eritrea	ERI	121178.2	
Spain	ESP	499713.681	
Estonia	EST	42730	
Ethiopia	ETH	1128498.8	
Finland	FIN	303947.7	
Fiji	FJI	18270	
France	FRA	538950	
Faroe Islands	FRO	1370	
Micronesia, Fed. Sts.	FSM	700	
Gabon	GAB	257670	
United Kingdom	GBR	241930	
Georgia	GEO	69490	
Ghana	GHA	227533	
Gibraltar	GIB	10	
Guinea	GIN	245720	
Gambia, The	GMB	10120	
Guinea-Bissau	GNB	28120	
Equatorial Guinea	GNQ	28050	
Greece	GRC	128900	
Grenada	GRD	340	
Greenland	GRL	410450	
Guatemala	GTM	107160	
Guam	GUM	540	
Guyana	GUY	211140	
Hong Kong SAR, China	HKG	1050	
Honduras	HND	111890	
Croatia	HRV	55960	
Haiti	HTI	27560	
Hungary	HUN	91260	
Indonesia	IDN	1892555.47	
Isle of Man	IMN	570	
India	IND	2973190	
Ireland	IRL	68890	
Iran, Islamic Rep.	IRN	1622500	
Iraq	IRQ	434130	
Iceland	ISL	100830	
Israel	ISR	21640	
Italy	ITA	295720	
Jamaica	JAM	10830	
Jordan	JOR	88794	
Japan	JPN	364500	
Kazakhstan	KAZ	2699700	
Kenya	KEN	580876.3	
Kyrgyz Republic	KGZ	191800	
Cambodia	KHM	176520	
Kiribati	KIR	810	
St. Kitts and Nevis	KNA	260	
Korea, Rep.	KOR	97600	
Kuwait	KWT	17820	
Lao PDR	LAO	230800	
Lebanon	LBN	10230	
Liberia	LBR	96320	
Libya	LBY	1759540	
St. Lucia	LCA	610	
Liechtenstein	LIE	160	
Sri Lanka	LKA	61860	
Lesotho	LSO	30360	
Lithuania	LTU	62604	
Luxembourg	LUX	2574.46	
Latvia	LVA	62230	
Macao SAR, China	MAC	33	
St. Martin (French part)	MAF	50	
Morocco	MAR	446300	
Monaco	MCO	2.084	
Moldova	MDA	32880	
Madagascar	MDG	581800	
Maldives	MDV	300	
Mexico	MEX	1943950	
Marshall Islands	MHL	180	
North Macedonia	MKD	25220	
Mali	MLI	1220190	
Malta	MLT	320	
Myanmar	MMR	652670	
Montenegro	MNE	13450	
Mongolia	MNG	1557510	
Northern Mariana Islands	MNP	460	
Mozambique	MOZ	786380	
Mauritania	MRT	1030700	
Mauritius	MUS	1997	
Malawi	MWI	94280	
Malaysia	MYS	328550	
Namibia	NAM	823290	
New Caledonia	NCL	18280	
Niger	NER	1266700	
Nigeria	NGA	910770	
Nicaragua	NIC	120340	
Netherlands	NLD	33670	
Norway	NOR	364270	
Nepal	NPL	143350	
Nauru	NRU	20	
New Zealand	NZL	263310	
Oman	OMN	309500	
Other small states	OSS	274898	
Pakistan	PAK	770880	
Panama	PAN	74180	
Peru	PER	1280000	
Philippines	PHL	298170	
Palau	PLW	460	
Papua New Guinea	PNG	452860	
Poland	POL	306090	
Puerto Rico (US)	PRI	8870	
Korea, Dem. People's Rep.	PRK	120410	
Portugal	PRT	91605.6	
Paraguay	PRY	396012.042	
West Bank and Gaza	PSE	6025	
French Polynesia	PYF	3471	
Qatar	QAT	11490	
Romania	ROU	230080	
Russian Federation	RUS	16376870	
Rwanda	RWA	24670	
Saudi Arabia	SAU	2149690	
Sudan	SDN	1868000	
Senegal	SEN	192530	
Singapore	SGP	718	
Solomon Islands	SLB	27990	
Sierra Leone	SLE	72180	
El Salvador	SLV	20720	
San Marino	SMR	60	
Somalia, Fed. Rep.	SOM	627340	
Serbia	SRB	84090	
South Sudan	SSD	631930	
Sao Tome and Principe	STP	960	
Suriname	SUR	160507.61	
Slovak Republic	SVK	48080	
Slovenia	SVN	20136.4	
Sweden	SWE	407280	
Eswatini	SWZ	17200	
Sint Maarten (Dutch part)	SXM	34	
Seychelles	SYC	460	
Syrian Arab Republic	SYR	183630	
Turks and Caicos Islands	TCA	950	
Chad	TCD	1259200	
Togo	TGO	54390	
Thailand	THA	510890	
Tajikistan	TJK	138790	
Turkmenistan	TKM	469930	
Timor-Leste	TLS	14870	
Tonga	TON	720	
Trinidad and Tobago	TTO	5130	
Tunisia	TUN	155360	
Turkiye	TUR	769630	
Tuvalu	TUV	30	
Tanzania	TZA	885800	
Uganda	UGA	200520	
Ukraine	UKR	579400	
Uruguay	URY	175020	
United States	USA	9147420	
Uzbekistan	UZB	440652	
St. Vincent and the Grenadines	VCT	390	
Venezuela, RB	VEN	882050	
British Virgin Islands	VGB	150	
Virgin Islands (U.S.)	VIR	350	
Viet Nam	VNM	313429	
Vanuatu	VUT	12190	
Samoa	WSM	2780	
Yemen, Rep.	YEM	527970	
Zambia	ZMB	743390	
Zimbabwe	ZWE	386850	