Country,Year,Value
Australia,2010,7741220
Australia,2011,7741220
Australia,2012,7741220
Australia,2013,7741220
Australia,2014,7741220
Australia,2015,7741220
Australia,2016,7741220
Australia,2017,7741220
Australia,2018,7741220
Australia,2019,7741220
Australia,2020,7741220
Australia,2021,7741220
Australia,2022,7741220
Australia,2023,7741220
Austria,2010,83879
Austria,2011,83879
Austria,2012,83879
Austria,2013,83879
Austria,2014,83879
Austria,2015,83879
Austria,2016,83879
Austria,2017,83879
Austria,2018,83879
Austria,2019,83879
Austria,2020,83879
Austria,2021,83879
Austria,2022,83879
Austria,2023,83879
Belgium,2010,30528
Belgium,2011,30528
Belgium,2012,30528
Belgium,2013,30528
Belgium,2014,30528
Belgium,2015,30528
Belgium,2016,30528
Belgium,2017,30528
Belgium,2018,30688
Belgium,2019,30689
Belgium,2020,30689
Belgium,2021,30689
Belgium,2022,30689
Belgium,2023,30689
Canada,2010,15640500
Canada,2011,15640500
Canada,2012,15640500
Canada,2013,15640500
Canada,2014,15640500
Canada,2015,15640500
Canada,2016,15640500
Canada,2017,15640500
Canada,2018,15640500
Canada,2019,15640500
Canada,2020,15640500
Canada,2021,15634410
Canada,2022,15634410
Canada,2023,15634410
Chile,2010,756096
Chile,2011,756096
Chile,2012,756096
Chile,2013,756096
Chile,2014,756096
Chile,2015,756096
Chile,2016,756700
Chile,2017,756700
Chile,2018,756700
Chile,2019,757244.9
Chile,2020,757244.9
Chile,2021,757244.9
Chile,2022,757244.9
Chile,2023,757244.9
Colombia,2010,1141750
Colombia,2011,1141750
Colombia,2012,1141748
Colombia,2013,1141749
Colombia,2014,1141749
Colombia,2015,1141749
Colombia,2016,1141749
Colombia,2017,1141749
Colombia,2018,1141750
Colombia,2019,1141750
Colombia,2020,1140619
Colombia,2021,1140619
Colombia,2022,1140619
Colombia,2023,1140619
Costa Rica,2010,51100
Costa Rica,2011,51100
Costa Rica,2012,51100
Costa Rica,2013,51100
Costa Rica,2014,51100
Costa Rica,2015,51100
Costa Rica,2016,51100
Costa Rica,2017,51100
Costa Rica,2018,51100
Costa Rica,2019,51100
Costa Rica,2020,51100
Costa Rica,2021,51100
Costa Rica,2022,51100
Costa Rica,2023,51100
Czechia,2010,78870
Czechia,2011,78870
Czechia,2012,78870
Czechia,2013,78870
Czechia,2014,78870
Czechia,2015,78870
Czechia,2016,78870
Czechia,2017,78870
Czechia,2018,78870
Czechia,2019,78870.04
Czechia,2020,78871.01
Czechia,2021,78871.04
Czechia,2022,78871.47
Czechia,2023,78871.43
Denmark,2010,42920
Denmark,2011,42920
Denmark,2012,42920
Denmark,2013,42920
Denmark,2014,42920
Denmark,2015,42920
Denmark,2016,42920
Denmark,2017,42920
Denmark,2018,42920
Denmark,2019,42920
Denmark,2020,42920
Denmark,2021,42920
Denmark,2022,42920
Denmark,2023,42920
Estonia,2010,45230
Estonia,2011,45230
Estonia,2012,45230
Estonia,2013,45340
Estonia,2014,45340
Estonia,2015,45340
Estonia,2016,45340
Estonia,2017,45340
Estonia,2018,45340
Estonia,2019,45340
Estonia,2020,45340
Estonia,2021,45340
Estonia,2022,45340
Estonia,2023,45340
Finland,2010,338420
Finland,2011,338420
Finland,2012,338420
Finland,2013,338420
Finland,2014,338420
Finland,2015,338446
Finland,2016,338450
Finland,2017,338450
Finland,2018,338450
Finland,2019,338460
Finland,2020,338460
Finland,2021,338470
Finland,2022,338470
Finland,2023,338480
France,2010,549087
France,2011,549087
France,2012,549087
France,2013,549087
France,2014,549087
France,2015,549087
France,2016,549087
France,2017,549087
France,2018,549087
France,2019,549087
France,2020,606410
France,2021,606410
France,2022,606410
France,2023,606410
Germany,2010,357130
Germany,2011,357140
Germany,2012,357170
Germany,2013,357340
Germany,2014,357380
Germany,2015,357410
Germany,2016,357580
Germany,2017,357580
Germany,2018,357580
Germany,2019,357580
Germany,2020,357590
Germany,2021,357590
Germany,2022,357600
Germany,2023,357680
Greece,2010,131960
Greece,2011,131960
Greece,2012,131960
Greece,2013,131960
Greece,2014,131960
Greece,2015,131960
Greece,2016,131960
Greece,2017,131960
Greece,2018,131960
Greece,2019,131960
Greece,2020,131960
Greece,2021,131960
Greece,2022,131960
Greece,2023,131960
Hungary,2010,93030
Hungary,2011,93030
Hungary,2012,93030
Hungary,2013,93030
Hungary,2014,93030
Hungary,2015,93030
Hungary,2016,93030
Hungary,2017,93030
Hungary,2018,93030
Hungary,2019,93030
Hungary,2020,93030
Hungary,2021,93030
Hungary,2022,93030
Hungary,2023,93030
Iceland,2010,103000
Iceland,2011,103000
Iceland,2012,103000
Iceland,2013,103000
Iceland,2014,103000
Iceland,2015,103000
Iceland,2016,103000
Iceland,2017,103000
Iceland,2018,103000
Iceland,2019,103000
Iceland,2020,103000
Iceland,2021,103000
Iceland,2022,103000
Iceland,2023,103000
Ireland,2010,70280
Ireland,2011,70280
Ireland,2012,70280
Ireland,2013,70280
Ireland,2014,70280
Ireland,2015,70280
Ireland,2016,70280
Ireland,2017,70280
Ireland,2018,70280
Ireland,2019,70280
Ireland,2020,70280
Ireland,2021,70280
Ireland,2022,70280
Ireland,2023,70280
Israel,2010,22070
Israel,2011,22070
Israel,2012,22070
Israel,2013,22070
Israel,2014,22070
Israel,2015,22070
Israel,2016,22070
Israel,2017,22070
Israel,2018,22070
Israel,2019,22070
Israel,2020,22070
Israel,2021,22070
Israel,2022,22070
Israel,2023,22070
Italy,2010,302069
Italy,2011,302069
Italy,2012,302069
Italy,2013,302069
Italy,2014,302069
Italy,2015,302069
Italy,2016,302069
Italy,2017,302069
Italy,2018,302069
Italy,2019,302068
Italy,2020,302068
Italy,2021,302068
Italy,2022,302070
Italy,2023,302070
Japan,2010,377950
Japan,2011,377955
Japan,2012,377960
Japan,2013,377962
Japan,2014,377962
Japan,2015,377971
Japan,2016,377970
Japan,2017,377970
Japan,2018,377974
Japan,2019,377974
Japan,2020,377974
Japan,2021,377974
Japan,2022,377969.3
Japan,2023,377969.3
Korea,2010,100030
Korea,2011,100030
Korea,2012,100150
Korea,2013,100266
Korea,2014,100280
Korea,2015,100295
Korea,2016,100339
Korea,2017,100360
Korea,2018,100380
Korea,2019,100400
Korea,2020,100410
Korea,2021,100430
Korea,2022,100440
Korea,2023,100450
Latvia,2010,64594
Latvia,2011,64594
Latvia,2012,64594
Latvia,2013,64594
Latvia,2014,64594
Latvia,2015,64594
Latvia,2016,64594
Latvia,2017,64594
Latvia,2018,64594
Latvia,2019,64594
Latvia,2020,64590
Latvia,2021,64590
Latvia,2022,64590
Latvia,2023,64590
Lithuania,2010,65300
Lithuania,2011,65300
Lithuania,2012,65300
Lithuania,2013,65300
Lithuania,2014,65286
Lithuania,2015,65286
Lithuania,2016,65286
Lithuania,2017,65286
Lithuania,2018,65290
Lithuania,2019,65290
Lithuania,2020,65290
Lithuania,2021,65290
Lithuania,2022,65286
Lithuania,2023,65290
Luxembourg,2010,2590
Luxembourg,2011,2590
Luxembourg,2012,2590
Luxembourg,2013,2590
Luxembourg,2014,2590
Luxembourg,2015,2590
Luxembourg,2016,2590
Luxembourg,2017,2590
Luxembourg,2018,2590
Luxembourg,2019,2590
Luxembourg,2020,2590
Luxembourg,2021,2590
Luxembourg,2022,2590
Luxembourg,2023,2590
Mexico,2010,1964380
Mexico,2011,1964380
Mexico,2012,1964380
Mexico,2013,1964380
Mexico,2014,1964375
Mexico,2015,1964375
Mexico,2016,1964375
Mexico,2017,1964375
Mexico,2018,1964380
Mexico,2019,1964380
Mexico,2020,1960647
Mexico,2021,1960647
Mexico,2022,1959142
Mexico,2023,1957194
Netherlands,2010,41540
Netherlands,2011,41540
Netherlands,2012,41540
Netherlands,2013,41540
Netherlands,2014,41540
Netherlands,2015,41540
Netherlands,2016,41540
Netherlands,2017,41540
Netherlands,2018,41540
Netherlands,2019,41540
Netherlands,2020,41540
Netherlands,2021,41540
Netherlands,2022,41540
Netherlands,2023,41540
New Zealand,2010,267710
New Zealand,2011,267710
New Zealand,2012,267710
New Zealand,2013,267710
New Zealand,2014,267710
New Zealand,2015,267710
New Zealand,2016,267710
New Zealand,2017,267710
New Zealand,2018,267710
New Zealand,2019,267710
New Zealand,2020,267710
New Zealand,2021,267710
New Zealand,2022,267710
New Zealand,2023,267710
Norway,2010,385178
Norway,2011,385178
Norway,2012,385178
Norway,2013,625217.1
Norway,2014,625222
Norway,2015,625184.8
Norway,2016,625194
Norway,2017,625217
Norway,2018,625222
Norway,2019,625218
Norway,2020,624499
Norway,2021,624500
Norway,2022,624500
Norway,2023,624500
Poland,2010,312680
Poland,2011,312680
Poland,2012,312680
Poland,2013,312680
Poland,2014,312680
Poland,2015,312680
Poland,2016,312680
Poland,2017,312680
Poland,2018,312690
Poland,2019,312690
Poland,2020,312710
Poland,2021,312710
Poland,2022,312720
Poland,2023,313930
Portugal,2010,92210
Portugal,2011,92210
Portugal,2012,92210
Portugal,2013,92225.2
Portugal,2014,92225.59
Portugal,2015,92225.59
Portugal,2016,92225.59
Portugal,2017,92225.59
Portugal,2018,92225.59
Portugal,2019,92230
Portugal,2020,92230
Portugal,2021,92230
Portugal,2022,92230
Portugal,2023,92230
Slovak Republic,2010,49037
Slovak Republic,2011,49036
Slovak Republic,2012,49036
Slovak Republic,2013,49036
Slovak Republic,2014,49030
Slovak Republic,2015,49030
Slovak Republic,2016,49030
Slovak Republic,2017,49030
Slovak Republic,2018,49030
Slovak Republic,2019,49030
Slovak Republic,2020,49030
Slovak Republic,2021,49030
Slovak Republic,2022,49030
Slovak Republic,2023,49030
Slovenia,2010,20270
Slovenia,2011,20270
Slovenia,2012,20270
Slovenia,2013,20675
Slovenia,2014,20675
Slovenia,2015,20675
Slovenia,2016,20675
Slovenia,2017,20480
Slovenia,2018,20480
Slovenia,2019,20480
Slovenia,2020,20480
Slovenia,2021,20480
Slovenia,2022,20480
Slovenia,2023,20480
Spain,2010,505600
Spain,2011,505600
Spain,2012,505940
Spain,2013,505940
Spain,2014,505940
Spain,2015,505924
Spain,2016,505935
Spain,2017,505935.3
Spain,2018,505957.3
Spain,2019,505952.8
Spain,2020,505969.9
Spain,2021,505964.6
Spain,2022,505978.3
Spain,2023,505976
Sweden,2010,447420.1
Sweden,2011,447420.1
Sweden,2012,447420.1
Sweden,2013,528447.6
Sweden,2014,528447.6
Sweden,2015,528449.3
Sweden,2016,528449.3
Sweden,2017,528449.3
Sweden,2018,528449.3
Sweden,2019,528860
Sweden,2020,528860
Sweden,2021,528860
Sweden,2022,528860
Sweden,2023,528660
Switzerland,2010,41290.7
Switzerland,2011,41290.7
Switzerland,2012,41290.7
Switzerland,2013,41290.7
Switzerland,2014,41290.7
Switzerland,2015,41290.7
Switzerland,2016,41290.7
Switzerland,2017,41290.7
Switzerland,2018,41290.7
Switzerland,2019,41290.7
Switzerland,2020,41290.7
Switzerland,2021,41290.7
Switzerland,2022,41290.7
Switzerland,2023,41290.7
Türkiye,2010,785350
Türkiye,2011,785350
Türkiye,2012,785350
Türkiye,2013,785350
Türkiye,2014,785350
Türkiye,2015,785350
Türkiye,2016,785350
Türkiye,2017,785350
Türkiye,2018,785350
Türkiye,2019,785350
Türkiye,2020,785350
Türkiye,2021,785350
Türkiye,2022,785350
Türkiye,2023,785350
United Kingdom,2010,243610
United Kingdom,2011,243610
United Kingdom,2012,243610
United Kingdom,2013,243610
United Kingdom,2014,243610
United Kingdom,2015,243610
United Kingdom,2016,243610
United Kingdom,2017,243610
United Kingdom,2018,243610
United Kingdom,2019,243610
United Kingdom,2020,243610
United Kingdom,2021,243610
United Kingdom,2022,243610
United Kingdom,2023,243610
United States,2010,9831510
United States,2011,9831510
United States,2012,9831510
United States,2013,9831510
United States,2014,9831510
United States,2015,9831510
United States,2016,9831510
United States,2017,9831510
United States,2018,9831510
United States,2019,9831510
United States,2020,9831510
United States,2021,9831510
United States,2022,9831510
United States,2023,9831510