date,date2,partner
19.11.2025,01.02.2025,superscale
12.02.2025,,superscale
13.12.2024,,superscale
15.11.2024,,superscale
15.10.2024,,superscale
13.09.2024,,superscale
15.08.2024,,superscale
15.07.2024,,superscale
14.06.2024,,superscale
15.05.2024,,superscale
15.04.2024,,superscale
15.03.2024,,superscale
14.02.2024,,superscale
12.01.2024,,superscale
14.12.2023,,superscale
14.11.2023,,superscale
12.10.2023,,superscale
05.01.2023,,erni
06.12.2022,,erni
07.11.2022,,erni
06.10.2022,,erni
07.09.2022,,erni
04.08.2022,,erni
07.07.2022,,erni
30.06.2022,,erni
06.06.2022,,erni
05.05.2022,,erni
07.04.2022,,erni
04.03.2022,,erni
04.02.2022,,erni
10.01.2022,,erni
06.12.2021,,erni
05.11.2021,,erni
07.10.2021,,erni
07.09.2021,,erni
05.08.2021,,erni
07.07.2021,,erni
07.06.2021,,erni
06.05.2021,,erni
08.04.2021,,erni
04.03.2021,,erni
04.02.2021,,erni
11.01.2021,,sng
07.01.2021,,erni
10.12.2020,,sng
07.12.2020,,erni
10.11.2020,,sng
05.11.2020,,erni
09.10.2020,,sng
06.10.2020,,erni
10.09.2020,,sng
07.09.2020,,erni
10.08.2020,,sng
07.08.2020,,erni
10.07.2020,,sng
06.07.2020,,erni
10.06.2020,,sng
04.06.2020,,erni
07.05.2020,,sng
06.05.2020,,erni
09.04.2020,,sng
07.04.2020,,erni
10.03.2020,,sng
06.03.2020,,erni
10.02.2020,,sng
07.02.2020,,erni
10.01.2020,,sng
09.01.2020,,erni
18.12.2019,,sng
10.12.2019,,sng
06.12.2019,,erni
08.11.2019,,erni
08.11.2019,,sng
18.10.2019,,erni
10.10.2019,,sng
07.10.2019,,erni
10.09.2019,,sng
06.09.2019,,erni
30.12.2025,01.08.2025,smarthead
24.11.2025,01.07.2025,smarthead
18.11.2025,01.07.2025,smarthead
17.10.2025,01.07.2025,smarthead
21.07.2025,01.07.2025,smarthead
24.06.2025,01.06.2025,smarthead
09.06.2025,01.06.2025,smarthead
02.06.2025,01.05.2025,smarthead
17.04.2025,01.04.2025,smarthead